Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1998","1998","1000 ha","31120","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1998","1998","1000 ha","640","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1998","1998","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","1999","1999","1000 ha","31110","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","1999","1999","1000 ha","646","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","1999","1999","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2000","2000","1000 ha","31040","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2000","2000","1000 ha","658","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2000","2000","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2001","2001","1000 ha","31300","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2001","2001","1000 ha","672","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2001","2001","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2002","2002","1000 ha","31220","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2002","2002","1000 ha","664","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2002","2002","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2003","2003","1000 ha","31190","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2003","2003","1000 ha","652","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2003","2003","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2004","2004","1000 ha","30310","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2004","2004","1000 ha","735","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2004","2004","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2005","2005","1000 ha","30170","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2005","2005","1000 ha","795","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6655","Permanent meadows and pastures","2005","2005","1000 ha","5000","I","Imputed value",""
"RL","Land Use","165","Pakistan","5110","Area","6621","Arable land","2006","2006","1000 ha","30320","A","Official figure",""
"RL","Land Use","165","Pakistan","5110","Area","6650","Permanent crops","2006","2006","1000 ha","815","A","Official figure",""
