Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1999","1999","t","18100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2000","2000","t","2264600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2000","2000","t","675100","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2000","2000","t","22800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2001","2001","t","2291610","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2001","2001","t","641940","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2001","2001","t","10900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2002","2002","t","2384980","I","Imputed value",""
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2002","2002","t","647360","I","Imputed value",""
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2002","2002","t","20500","A","Official figure","Official data collected from national publication"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2003","2003","t","2456009","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2003","2003","t","669307","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2003","2003","t","23944","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2004","2004","t","2570230","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2004","2004","t","761031","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2004","2004","t","26449","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2005","2005","t","2818779","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2005","2005","t","871416","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2005","2005","t","35301","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2006","2006","t","2868984","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2006","2006","t","906749","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2006","2006","t","36408","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2007","2007","t","2714053","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2007","2007","t","816044","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2007","2007","t","43924","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2008","2008","t","2928057","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2008","2008","t","565675","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2008","2008","t","16564","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2009","2009","t","3451900","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2009","2009","t","778714","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2009","2009","t","15499","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2010","2010","t","3270531","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2010","2010","t","756700","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2010","2010","t","37545","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2011","2011","t","3187339","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2011","2011","t","653181","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2011","2011","t","28013","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2012","2012","t","2850771","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2012","2012","t","678840","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2012","2012","t","19427","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2013","2013","t","3239557","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2013","2013","t","875452","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2013","2013","t","19849","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2014","2014","t","3139263","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2014","2014","t","936148","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2014","2014","t","29549","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2015","2015","t","3160507","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2015","2015","t","993338","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3104","Nutrient potash K2O (total)","2015","2015","t","25291","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","165","Pakistan","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2016","2016","t","3241907","A","Official figure","Official data from questionnaire"
